Nilai;Kurs Jual;Tanggal
1;15923.54;03/07/2022
1;16019.36;03/04/2022
1;16195.63;03/02/2022
1;16141.98;03/01/2022
1;16236.66;2/25/2022
1;16371.51;2/24/2022
1;16352.06;2/23/2022
1;16356.26;2/22/2022
1;16395.05;2/21/2022
1;16332.92;2/18/2022
1;16341.09;2/17/2022
1;16305.4;2/16/2022
1;16300.24;2/15/2022
1;16442.45;2/14/2022
1;16482.93;02/11/2022
1;16493.78;02/10/2022
1;16491.02;02/09/2022
1;16550.43;02/08/2022
1;16552.94;02/07/2022
1;16327.45;02/04/2022
1;16277.32;02/03/2022
1;16157.69;02/02/2022
1;16101.99;1/31/2022
1;16196.1;1/28/2022
1;16273.29;1/27/2022
1;16301.33;1/26/2022
1;16305.02;1/25/2022
1;16346.53;1/24/2022
1;16383.35;1/21/2022
1;16372.73;1/20/2022
1;16402.08;1/19/2022
1;16453.05;1/18/2022
1;16491.32;1/17/2022
1;16495.36;1/14/2022
1;16338.37;1/13/2022
1;16311.95;01/12/2022
1;16316.3;01/11/2022
1;16325.25;01/10/2022
1;16338.69;01/07/2022
1;16317.95;01/06/2022
1;16239.65;01/05/2022
1;16276.0;01/04/2022
1;16239.2;01/03/2022
1;16208.9;12/31/2021
1;16182.85;12/30/2021
1;16202.59;12/29/2021
1;16174.64;12/28/2021
1;16202.12;12/27/2021
1;16202.77;12/24/2021
1;16161.64;12/23/2021
1;16298.33;12/22/2021
1;16294.71;12/21/2021
1;16317.46;12/20/2021
1;16317.46;12/17/2021
1;16247.24;12/16/2021
1;16272.68;12/15/2021
1;16257.43;12/14/2021
1;16308.15;12/13/2021
1;16330.89;12/10/2021
1;16275.56;12/09/2021
1;16317.56;12/08/2021
1;16388.32;12/07/2021
1;16347.97;12/06/2021
1;16363.06;12/03/2021
1;16320.18;12/02/2021
1;16338.78;12/01/2021
1;16256.4;11/30/2021
1;16148.2;11/29/2021
1;16110.88;11/26/2021
1;16097.55;11/25/2021
1;16164.97;11/24/2021
1;16144.28;11/23/2021
1;16201.16;11/22/2021
1;16210.07;11/19/2021
1;16219.03;11/18/2021
1;16245.84;11/17/2021
1;16344.34;11/16/2021
1;16395.51;11/15/2021
1;16470.28;11/12/2021
1;16563.15;11/11/2021
1;16575.67;11/10/2021
1;16594.92;11/09/2021
1;16686.42;11/08/2021
1;16636.19;11/05/2021
1;16653.43;11/04/2021
1;16608.28;11/03/2021
1;16555.11;11/02/2021
1;16596.04;11/01/2021
1;16544.64;10/29/2021
1;16532.86;10/28/2021
1;16529.22;10/27/2021
1;16605.82;10/26/2021
1;16566.99;10/25/2021
1;16538.75;10/22/2021
1;16499.37;10/21/2021
1;16407.62;10/19/2021
1;16429.04;10/18/2021
1;16528.93;10/15/2021
1;16517.39;10/14/2021
1;16519.89;10/13/2021
1;16527.46;10/12/2021
1;16517.75;10/11/2021
1;16542.85;10/08/2021
1;16543.84;10/07/2021
1;16622.87;10/06/2021
1;16667.35;10/05/2021
1;16659.66;10/04/2021
1;16702.62;10/01/2021
1;16778.32;9/30/2021
1;16749.53;9/29/2021
1;16752.37;9/28/2021
1;16810.28;9/27/2021
1;16794.44;9/24/2021
1;16806.25;9/23/2021
1;16800.34;9/22/2021
1;16772.8;9/21/2021
1;16851.74;9/20/2021
1;16850.5;9/17/2021
1;16938.69;9/16/2021
1;16938.9;9/15/2021
1;16898.04;9/14/2021
1;16936.63;9/13/2021
1;16972.5;09/10/2021
1;16956.76;09/09/2021
1;16945.13;09/08/2021
1;16980.48;09/07/2021
1;17018.18;09/06/2021
1;17001.86;09/03/2021
1;16962.36;09/02/2021
1;16999.99;09/01/2021
1;17050.46;8/31/2021
1;17045.56;8/30/2021
1;17052.06;8/27/2021
1;17016.94;8/26/2021
1;16966.5;8/25/2021
1;16994.79;8/24/2021
1;16971.15;8/23/2021
1;16928.42;8/20/2021
1;16943.78;8/19/2021
1;17040.91;8/18/2021
1;16980.31;8/16/2021
1;16990.17;8/13/2021
1;16967.78;08/12/2021
1;16984.4;08/10/2021
1;17058.98;08/09/2021
1;17061.51;08/06/2021
1;17060.25;08/05/2021
1;17153.14;08/04/2021
1;17266.86;08/03/2021
1;17304.55;08/02/2021
1;17298.48;7/30/2021
1;17236.89;7/29/2021
1;17151.93;7/28/2021
1;17165.13;7/27/2021
1;17157.39;7/26/2021
1;17200.66;7/23/2021
1;17228.87;7/22/2021
1;17183.14;7/21/2021
1;17239.06;7/19/2021
1;17270.53;7/16/2021
1;17163.95;7/15/2021
1;17251.74;7/14/2021
1;17283.77;7/13/2021
1;17299.26;07/12/2021
1;17290.49;07/09/2021
1;17236.35;07/08/2021
1;17225.94;07/07/2021
1;17277.54;07/06/2021
1;17316.82;07/05/2021
1;17307.56;07/02/2021
1;17375.43;07/01/2021
1;17343.78;6/30/2021
1;17370.33;6/29/2021
1;17341.78;6/28/2021
1;17335.07;6/25/2021
1;17338.56;6/24/2021
1;17242.45;6/23/2021
1;17276.36;6/22/2021
1;17242.64;6/21/2021
1;17267.62;6/18/2021
1;17380.22;6/17/2021
1;17362.93;6/16/2021
1;17313.24;6/15/2021
1;17375.15;6/14/2021
1;17415.3;06/11/2021
1;17475.17;06/10/2021
1;17452.24;06/09/2021
1;17443.18;06/08/2021
1;17427.68;06/07/2021
1;17513.75;06/04/2021
1;17477.98;06/03/2021
1;17524.86;06/02/2021
1;17542.61;06/01/2021
1;17542.61;5/31/2021
1;17537.87;5/28/2021
1;17664.03;5/27/2021
1;17602.03;5/26/2021
1;17602.03;5/25/2021
1;17661.31;5/24/2021
1;17636.47;5/21/2021
1;17573.63;5/20/2021
1;17563.41;5/19/2021
1;17440.4;5/18/2021
1;17368.63;5/17/2021
1;17369.64;5/14/2021
1;17369.64;5/13/2021
1;17369.64;05/12/2021
1;17369.64;05/11/2021
1;17357.48;05/10/2021
1;17383.61;05/07/2021
1;17409.09;05/06/2021
1;17408.14;05/05/2021
1;17519.9;05/04/2021
1;17571.22;05/03/2021
1;17617.08;4/30/2021
1;17612.8;4/29/2021
1;17572.26;4/28/2021
1;17622.27;4/27/2021
1;17637.0;4/26/2021
1;17564.07;4/23/2021
1;17560.72;4/22/2021
1;17597.25;4/21/2021
1;17607.07;4/20/2021
1;17564.22;4/19/2021
1;17641.0;4/16/2021
1;17600.34;4/15/2021
1;17513.86;4/14/2021
1;17478.83;4/13/2021
1;17420.83;04/12/2021
1;17406.18;04/09/2021
1;17339.33;04/08/2021
1;17241.43;04/07/2021
1;17160.2;04/06/2021
1;17189.64;04/05/2021
1;17177.0;04/02/2021
